Layer                | IR drop (volt) | IR drop range (volt) | Elements 
---------------------|----------------|----------------------|----------
metal8               | 0.0243         | 0.95     -> 0.926    | 5816
metal7               | 0.0244         | 0.95     -> 0.926    | 16437
metal6               | 0.0244         | 0.95     -> 0.926    | 18921
metal5               | 0.0244         | 0.95     -> 0.926    | 12561
metal4               | 0.0244         | 0.95     -> 0.926    | 44361
metal3               | 0.0244         | 0.95     -> 0.926    | 32436
metal2               | 0.0244         | 0.95     -> 0.926    | 66939
metal1               | 0.0253         | 0.95     -> 0.925    | 84956
