Layer                | IR drop (volt) | IR drop range (volt) | Elements 
---------------------|----------------|----------------------|----------
metal8               | 0.0195         | 0        -> 0.0195   | 5780
metal7               | 0.0195         | 5.03e-05 -> 0.0195   | 16336
metal6               | 0.0195         | 0.000103 -> 0.0196   | 18802
metal5               | 0.0194         | 0.000161 -> 0.0196   | 12482
metal4               | 0.0194         | 0.000209 -> 0.0196   | 44082
metal3               | 0.0193         | 0.000253 -> 0.0196   | 32232
metal2               | 0.0193         | 0.000284 -> 0.0196   | 66518
metal1               | 0.0204         | 0.000304 -> 0.0207   | 83481
